DF,DL,MUNICIPIO,LOCALIDAD,SECCION,TIPO,CASILLA,UBICACION
1,2,2,1) MEXICALI,386,B,386 B,"UNIDAD DEPORTIVA ALAMITOS, AVENIDA RAFAEL BUELNA, SIN NÚMERO, COLONIA LAS HADAS, CÓDIGO POSTAL 21216, MEXICALI, BAJA CALIFORNIA, ENTRE CALZADA MANUEL GÓMEZ MORÍN Y CALLE TRINIDAD RODRÍGUEZ"
1,2,2,1) MEXICALI,386,C1,386 C1,"UNIDAD DEPORTIVA ALAMITOS, AVENIDA RAFAEL BUELNA, SIN NÚMERO, COLONIA LAS HADAS, CÓDIGO POSTAL 21216, MEXICALI, BAJA CALIFORNIA, ENTRE CALZADA MANUEL GÓMEZ MORÍN Y CALLE TRINIDAD RODRÍGUEZ"
1,2,2,1) MEXICALI,387,B,387 B,"ESCUELA PRIMARIA MARIANO MATAMOROS, CALLE MANUEL ACUÑA, SIN NÚMERO, COLONIA ALAMITOS, CÓDIGO POSTAL 21210, MEXICALI, BAJA CALIFORNIA, ENTRE AVENIDA DE LAS DALIAS Y REPÚBLICA DE ECUADOR"
1,2,2,1) MEXICALI,387,C1,387 C1,"ESCUELA PRIMARIA MARIANO MATAMOROS, CALLE MANUEL ACUÑA, SIN NÚMERO, COLONIA ALAMITOS, CÓDIGO POSTAL 21210, MEXICALI, BAJA CALIFORNIA, ENTRE AVENIDA DE LAS DALIAS Y REPÚBLICA DE ECUADOR"
1,3,2) MEXICALI,1) MEXICALI,388,B,388 B,"ESCUELA PRIMARIA EVA TORREA DE SALAS, AVENIDA REPÚBLICA DE CUBA, NÚMERO 991, COLONIA COMPUERTAS, CÓDIGO POSTAL 21218, MEXICALI, BAJA CALIFORNIA, ESQUINA CON CALLE JESÚS SANSÓN FLORES"
1,3,2) MEXICALI,1) MEXICALI,388,C1,388 C1,"ESCUELA PRIMARIA EVA TORREA DE SALAS, AVENIDA REPÚBLICA DE CUBA, NÚMERO 991, COLONIA COMPUERTAS, CÓDIGO POSTAL 21218, MEXICALI, BAJA CALIFORNIA, ESQUINA CON CALLE JESÚS SANSÓN FLORES"
1,3,2) MEXICALI,1) MEXICALI,389,B,389 B,"ESCUELA PRIMARIA PROFESOR SERGIO MÁRQUEZ MORENO, CALLE BUENOS AIRES, SIN NÚMERO, COLONIA CUAUHTÉMOC NORTE, CÓDIGO POSTAL 21200, MEXICALI, BAJA CALIFORNIA, ESQUINA CON AVENIDA REPÚBLICA DE CHILE"
1,3,2) MEXICALI,1) MEXICALI,389,C1,389 C1,"ESCUELA PRIMARIA PROFESOR SERGIO MÁRQUEZ MORENO, CALLE BUENOS AIRES, SIN NÚMERO, COLONIA CUAUHTÉMOC NORTE, CÓDIGO POSTAL 21200, MEXICALI, BAJA CALIFORNIA, ESQUINA CON AVENIDA REPÚBLICA DE CHILE"
1,3,2) MEXICALI,1) MEXICALI,390,B,390 B,"CECYTE DIRECCIÓN GENERAL , REPÚBLICA DE PANAMÁ NÚMERO 199, COLONIA CUAUHTÉMOC SUR, CÓDIGO POSTAL 21200, MEXICALI, BAJA CALIFORNIA, ESQUINA CON CALLE BUENOS AIRES"
1,3,2) MEXICALI,1) MEXICALI,391,B,391 B,"TALLER SUPER MOFLES, CALZADA CUAUHTÉMOC, NÚMERO 359, COLONIA CUAUHTÉMOC SUR, CÓDIGO POSTAL 21200, MEXICALI, BAJA CALIFORNIA, ENTRE CALLES CARACAS Y LIMA"
1,3,2) MEXICALI,1) MEXICALI,392,B,392 B,"JARDÍN DE NIÑOS PROFESOR MIGUEL ÁNGEL CASILLAS, CALZADA CUAUHTÉMOC, SIN NÚMERO, COLONIA PROHOGAR, CÓDIGO POSTAL 21200, MEXICALI, BAJA CALIFORNIA, ENTRE CALLES MANAGUA Y RÍO FUERTE"
1,3,2) MEXICALI,1) MEXICALI,392,C1,392 C1,"JARDÍN DE NIÑOS PROFESOR MIGUEL ÁNGEL CASILLAS, CALZADA CUAUHTÉMOC, SIN NÚMERO, COLONIA PROHOGAR, CÓDIGO POSTAL 21200, MEXICALI, BAJA CALIFORNIA, ENTRE CALLES MANAGUA Y RÍO FUERTE"
1,3,2) MEXICALI,1) MEXICALI,393,B,393 B,"TALLER HOMOCINÉTICOS JULIO, AVENIDA REPÚBLICA DE PANAMÁ, NÚMERO 805, FRACCIONAMIENTO SONORA, CÓDIGO POSTAL 21210, MEXICALI, BAJA CALIFORNIA, ENTRE CALLES RÍO CULIACÁN Y RÍO MOCORITO"
1,3,2) MEXICALI,1) MEXICALI,393,C1,393 C1,"TALLER HOMOCINÉTICOS JULIO, AVENIDA REPÚBLICA DE PANAMÁ, NÚMERO 805, FRACCIONAMIENTO SONORA, CÓDIGO POSTAL 21210, MEXICALI, BAJA CALIFORNIA, ENTRE CALLES RÍO CULIACÁN Y RÍO MOCORITO"
1,3,2) MEXICALI,1) MEXICALI,394,B,394 B,"JARDÍN DE NIÑOS JUAN JACOBO ROUSSEAU, AVENIDA REPÚBLICA DEL SALVADOR, NÚMERO 900, FRACCIONAMIENTO SONORA, CÓDIGO POSTAL 21210, MEXICALI, BAJA CALIFORNIA, ESQUINA CON CALLE RÍO CULIACÁN"
1,3,2) MEXICALI,1) MEXICALI,394,C1,394 C1,"JARDÍN DE NIÑOS JUAN JACOBO ROUSSEAU, AVENIDA REPÚBLICA DEL SALVADOR, NÚMERO 900, FRACCIONAMIENTO SONORA, CÓDIGO POSTAL 21210, MEXICALI, BAJA CALIFORNIA, ESQUINA CON CALLE RÍO CULIACÁN"
1,3,2) MEXICALI,1) MEXICALI,395,B,395 B,"ESCUELA PRIMARIA LICENCIADO BENITO JUÁREZ, AVENIDA CAPITÁN CABRILLO, SIN NÚMERO, COLONIA SAN GABRIEL, CÓDIGO POSTAL 21210, MEXICALI, BAJA CALIFORNIA, ENTRE CALLES SALVADOR DÍAZ MIRÓN Y SAN JUAN CAPISTRANO"
1,3,2) MEXICALI,1) MEXICALI,395,C1,395 C1,"ESCUELA PRIMARIA LICENCIADO BENITO JUÁREZ, AVENIDA CAPITÁN CABRILLO, SIN NÚMERO, COLONIA SAN GABRIEL, CÓDIGO POSTAL 21210, MEXICALI, BAJA CALIFORNIA, ENTRE CALLES SALVADOR DÍAZ MIRÓN Y SAN JUAN CAPISTRANO"
1,2,2,1) MEXICALI,396,B,396 B,"ESCUELA SECUNDARIA TÉCNICA NÚMERO 2, REPÚBLICA DE URUGUAY, NÚMERO 501, COLONIA SAN GABRIEL, CÓDIGO POSTAL 21210, MEXICALI, BAJA CALIFORNIA, ESQUINA CON CALZADA DE LAS AMÉRICAS"
1,2,2,1) MEXICALI,396,C1,396 C1,"ESCUELA SECUNDARIA TÉCNICA NÚMERO 2, REPÚBLICA DE URUGUAY, NÚMERO 501, COLONIA SAN GABRIEL, CÓDIGO POSTAL 21210, MEXICALI, BAJA CALIFORNIA, ESQUINA CON CALZADA DE LAS AMÉRICAS"
1,2,2,1) MEXICALI,396,C2,396 C2,"ESCUELA SECUNDARIA TÉCNICA NÚMERO 2, REPÚBLICA DE URUGUAY, NÚMERO 501, COLONIA SAN GABRIEL, CÓDIGO POSTAL 21210, MEXICALI, BAJA CALIFORNIA, ESQUINA CON CALZADA DE LAS AMÉRICAS"
1,2,2,1) MEXICALI,397,B,397 B,"DOMICILIO PARTICULAR , AVENIDA DE LOS NARDOS, NÚMERO 461, COLONIA ALAMITOS, CÓDIGO POSTAL 21210, MEXICALI, BAJA CALIFORNIA, ENTRE AVENIDA DE LAS ROSAS Y CALLE JUAN DE DIOS PEZA"
