MUNICIPIO,DF,DL,SECCION,TIPO,GOB_2019,PM_2019,DL_2019,GOB_2021,PM_2021,DL_2021,PM_2024,DL_2024,ESTRAT_CEN,CLASIFICACION,PRIORIDAD,PERFIL,CLASE,LN_FEB_26,MORENA_PM_2024,DIF_PM24,META
TIJUANA,5,9,1320,URBANO(A),107,55,120,47,151,102,129,101,SI,SWITCH,1,MIXTO,MEDIA ALTA,1985,385,256,386
TIJUANA,5,9,1321,URBANO(A),132,108,164,79,206,129,145,117,SI,SWITCH,1,POBLACION INDIGENA,MEDIA,4832,1173,1028,1174
TIJUANA,5,9,1322,URBANO(A),46,34,70,20,58,34,252,37,SI,SWITCH,1,DISCAPACITADOS,MEDIA,1194,268,16,269
TIJUANA,5,9,1323,URBANO(A),42,27,43,22,72,39,68,65,SI,SWITCH,1,MIXTO,MEDIA ALTA,874,171,103,172
TIJUANA,5,9,1324,URBANO(A),75,46,68,52,137,93,135,116,SI,SWITCH,1,MIXTO,MEDIA ALTA,1469,255,120,256
TIJUANA,5,9,1325,URBANO(A),63,44,68,31,82,63,57,56,SI,SWITCH,1,POBLACION INDIGENA,MEDIA,980,232,175,233
TIJUANA,5,8,1326,URBANO(A),122,65,140,67,170,136,179,140,SI,SWITCH,1,ADULTOS MAYORES,MEDIA ALTA,2587,444,265,445
TIJUANA,5,8,1327,URBANO(A),312,166,360,193,526,392,476,464,SI,SWITCH,1,MIXTO,ALTA,4179,782,306,783
TIJUANA,5,8,1328,URBANO(A),245,151,299,137,371,242,271,219,SI,SWITCH,1,MIXTO,MEDIA ALTA,6159,1360,1089,1361
TIJUANA,5,9,1329,URBANO(A),64,31,71,28,80,42,78,48,SI,SWITCH,1,MIXTO,ALTA,1323,339,261,340
TIJUANA,5,9,1330,URBANO(A),75,60,97,40,117,89,114,110,SI,SWITCH,1,MIXTO,MEDIA ALTA,2257,521,407,522
TIJUANA,5,9,1331,URBANO(A),41,25,61,24,68,46,62,59,SI,SWITCH,1,MIXTO,ALTA,1330,397,335,398
TIJUANA,5,8,1332,URBANO(A),67,42,83,47,134,82,91,92,SI,SWITCH,1,ADULTOS MAYORES,MEDIA ALTA,1024,247,156,248
TIJUANA,5,8,1333,URBANO(A),65,34,66,24,75,51,57,61,SI,SWITCH,1,ADULTOS MAYORES,MEDIA ALTA,804,165,108,166
TIJUANA,5,8,1334,URBANO(A),67,41,95,37,100,65,75,59,SI,SWITCH,1,DISCAPACITADOS,ALTA,864,221,146,222
TIJUANA,5,13,1335,URBANO(A),101,68,128,47,148,85,115,86,SI,SWITCH,1,ADULTOS MAYORES,ALTA,1432,350,235,351
TIJUANA,8,13,1336,URBANO(A),367,260,398,130,463,288,430,355,NO,SWITCH,1,MIXTO,ALTA,6145,1526,1096,1527
TIJUANA,8,13,1337,URBANO(A),158,81,145,85,276,197,260,255,NO,SWITCH,1,MIXTO,ALTA,2195,501,241,502
TIJUANA,8,13,1338,URBANO(A),39,22,43,22,66,47,58,54,NO,SWITCH,1,MIXTO,MEDIA ALTA,961,246,188,247
TIJUANA,8,13,1339,URBANO(A),39,23,24,20,55,28,37,34,NO,SWITCH,1,JOVENES,MEDIA,1107,265,228,266
TIJUANA,8,13,1340,URBANO(A),83,40,83,53,166,96,156,185,NO,SWITCH,1,ADULTOS MAYORES,ALTA,1346,242,86,243
TIJUANA,8,13,1341,URBANO(A),62,38,55,31,94,63,77,77,NO,SWITCH,1,MIXTO,MEDIA ALTA,1402,302,225,303
TIJUANA,8,12,1342,URBANO(A),33,16,23,12,46,24,41,25,NO,SWITCH,1,MIXTO,ALTA,618,152,111,153
TIJUANA,8,12,1343,URBANO(A),59,44,52,22,90,65,80,52,NO,SWITCH,1,MIXTO,MEDIA,1283,314,234,315
TIJUANA,8,12,1344,URBANO(A),32,22,31,11,46,27,37,23,NO,SWITCH,1,DISCAPACITADOS,MEDIA,697,146,109,147
TIJUANA,8,12,1345,URBANO(A),58,40,44,26,86,39,67,31,NO,OPOSITOR,3,ADULTOS MAYORES,MEDIA,1648,392,325,393
TIJUANA,8,12,1346,URBANO(A),81,42,41,29,72,28,62,39,NO,OPOSITOR,3,MIXTO,MEDIA ALTA,1885,446,384,447
TIJUANA,8,12,1347,URBANO(A),43,32,45,26,49,46,66,31,NO,SWITCH,1,MIXTO,MEDIA ALTA,1943,482,416,483
TIJUANA,5,12,1348,URBANO(A),94,70,83,24,107,57,87,51,SI,OPOSITOR,3,POBLACION INDIGENA,MEDIA,2981,721,634,722
TIJUANA,5,12,1349,URBANO(A),93,58,72,54,140,85,100,61,SI,OPOSITOR,3,POBLACION INDIGENA,MEDIA,4706,1096,996,1097
TIJUANA,8,12,1350,URBANO(A),64,52,52,43,125,72,92,52,NO,OPOSITOR,3,POBLACION INDIGENA,MEDIA,3569,920,828,921
TIJUANA,8,12,1351,URBANO(A),122,92,110,55,167,112,121,79,NO,SWITCH,1,JOVENES,MEDIA,4333,985,864,986
TIJUANA,8,12,1352,URBANO(A),39,25,32,14,49,25,50,27,NO,SWITCH,1,MIXTO,MEDIA ALTA,1019,238,188,239
TIJUANA,8,13,1353,URBANO(A),279,139,236,188,572,356,548,550,NO,SWITCH,1,MIXTO,ALTA,5271,1039,491,1040
TIJUANA,8,12,1355,URBANO(A),14,7,10,5,29,9,18,9,NO,OPOSITOR,3,POBLACION INDIGENA,MEDIA BAJA,863,233,215,234
TIJUANA,8,12,1357,URBANO(A),26,19,21,14,46,24,38,22,NO,OPOSITOR,3,MIXTO,MEDIA,1592,450,412,451
TIJUANA,6,11,1358,URBANO(A),139,50,96,133,281,200,271,261,NO,LEAL,2,ADULTOS MAYORES,MEDIA,1279,163,-108,164
